IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2081,"{1, 34, 41, 43, 16}",set(),0,[],2,False
2082,"{32, 3, 15, 17, 29}",set(),0,[],16,False
2083,"{5, 41, 10, 24, 29}",set(),0,[],11,False
2084,"{4, 6, 8, 9, 16}",set(),0,[],5,False
2085,"{35, 38, 17, 26, 31}",set(),0,[],10,False
2086,"{39, 40, 13, 20, 29}","{5, 41, 10, 16, 24}",0,[],16,False
2087,"{2, 35, 39, 9, 13}","{4, 5, 6, 8, 9, 10, 16, 17, 24}",1,[9],12,False
2088,"{32, 33, 5, 16, 31}","{4, 6, 8, 16, 17, 29}",1,[16],14,False
2089,"{1, 8, 40, 18, 29}","{4, 6, 38, 8, 39, 13, 17, 26, 29}",2,"[8, 29]",2,False
2090,"{35, 3, 5, 22, 26}","{32, 35, 4, 38, 39, 6, 13, 26}",2,"[26, 35]",3,False
2091,"{1, 9, 10, 13, 27}","{32, 1, 38, 39, 9, 13, 16, 20, 29}",3,"[1, 13, 9]",8,False
2092,"{6, 7, 41, 26, 27}","{32, 2, 3, 38, 39, 16, 20, 29, 31}",0,[],15,False
2093,"{43, 18, 19, 25, 26}","{32, 2, 3, 35, 5, 38, 39, 8, 40, 16, 20, 29, 31}",0,[],9,False
2094,"{2, 34, 38, 6, 28}","{32, 33, 2, 35, 3, 5, 1, 39, 8, 40, 10, 20, 27, 31}",1,[2],11,False
2095,"{33, 5, 8, 14, 26}","{32, 33, 1, 3, 35, 5, 8, 9, 40, 10, 41, 13, 43, 20, 27}",3,"[8, 33, 5]",3,False
2096,"{39, 41, 15, 16, 17}","{32, 1, 34, 3, 40, 9, 10, 41, 43, 13, 20, 27}",1,[41],9,False
2097,"{32, 4, 43, 14, 31}","{34, 3, 6, 10, 43, 13, 22, 27}",1,[43],16,False
2098,"{35, 37, 38, 23, 28}","{34, 3, 5, 6, 10, 15, 18, 22, 26, 27}",0,[],15,False
2099,"{1, 9, 13, 22, 29}","{34, 3, 5, 6, 41, 10, 15, 17, 18, 22, 26, 27}",2,[22],14,True
2100,"{5, 17, 21, 26, 31}","{34, 2, 3, 5, 6, 7, 8, 41, 10, 14, 15, 16, 17, 18, 27}",2,"[17, 5]",7,False
2101,"{3, 36, 5, 25, 27}","{33, 2, 34, 4, 3, 6, 39, 8, 41, 7, 10, 43, 14, 15, 16, 18, 27}",2,"[27, 3]",14,False
2102,"{36, 20, 24, 27, 29}","{1, 2, 4, 7, 8, 10, 14, 15, 16, 18, 19, 29, 32, 33, 34, 35, 39, 41, 43}",1,[29],1,False
2103,"{40, 15, 16, 24, 26}","{1, 2, 4, 7, 8, 9, 14, 15, 18, 19, 26, 28, 32, 33, 34, 35, 38, 39, 43}",3,"[26, 15]",9,True
