IdSorteo,Numeros_Sorteo,Numeros_Prospecto,Aciertos,Numeros_Acertados,Numero_Superbalota,Superbalota_Acertada
2081,"{22, 23, 27, 28, 30}",set(),0,[],3,False
2082,"{2, 34, 5, 10, 23}",set(),0,[],7,False
2083,"{4, 37, 8, 9, 28}",set(),0,[],11,False
2084,"{4, 23, 28, 29, 31}","{2, 34, 5, 10, 23}",1,[23],16,False
2085,"{3, 5, 42, 25, 30}",set(),0,[],8,False
2086,"{9, 12, 16, 21, 30}","{4, 37, 8, 9, 23, 28}",1,[9],1,False
2087,"{32, 34, 8, 42, 29}","{4, 37, 5, 8, 29, 31}",2,"[8, 29]",5,False
2088,"{34, 3, 35, 9, 12}",set(),0,[],13,False
2089,"{8, 40, 43, 12, 18}",set(),0,[],4,False
2090,"{1, 36, 37, 15, 22}",set(),0,[],13,False
2091,"{1, 4, 5, 16, 30}","{34, 9, 42, 16, 21, 25, 29}",1,[16],7,False
2092,"{34, 7, 41, 14, 20}","{32, 34, 3, 8, 9, 42, 12, 21, 22, 25, 29}",1,[34],4,False
2093,"{33, 9, 15, 25, 27}","{32, 1, 3, 37, 8, 42, 12, 21, 22, 25, 30}",2,[25],13,True
2094,"{7, 8, 42, 21, 30}","{32, 1, 34, 35, 4, 37, 3, 5, 21, 22, 30}",2,"[21, 30]",2,False
2095,"{1, 5, 8, 40, 14}","{32, 1, 34, 35, 4, 37, 5, 40, 43, 18, 22, 27}",3,"[40, 1, 5]",8,False
2096,"{37, 38, 6, 19, 20}","{32, 34, 35, 36, 6, 7, 10, 43, 16, 19, 21, 22, 29, 30}",3,"[19, 6]",10,True
2097,"{34, 36, 6, 21, 22}","{32, 34, 35, 36, 7, 9, 43, 15, 16, 18, 22, 27, 30}",3,"[34, 36, 22]",10,False
2098,"{39, 42, 43, 26, 29}","{32, 35, 7, 8, 9, 42, 43, 15, 16, 18, 25, 27, 30}",3,"[42, 43]",4,True
2099,"{33, 41, 21, 22, 23}","{32, 1, 35, 5, 6, 7, 8, 14, 15, 16, 18, 25, 27, 30}",0,[],8,False
2100,"{5, 9, 42, 16, 29}","{1, 35, 5, 6, 7, 14, 15, 18, 25, 27}",1,[5],11,False
2101,"{35, 36, 8, 15, 30}","{1, 34, 35, 37, 6, 7, 40, 14, 15, 18, 20, 23, 25, 27}",2,"[35, 15]",3,False
